year,name,roster_moves,adds,games_won,total_points
2021,Bo,158,76,8,2467.4
2020,Bo,144,60,10,2096.3
2020,daniel,136,49,8,1844.9
2021,daniel,136,34,7,2206.1
2023,daniel,124,43,5,2072.2
2018,Bo,122,59,7,2125.2
2020,Charles,122,28,9,1918.2
2020,Shane,121,26,4,1802.8
2023,Bo,120,50,8,2235.0
2021,Charles,120,26,10,2590.6
2022,Bo,116,45,12,2520.3
2014,Kai,115,26,5,1807.0
2021,jarrod,115,40,12,2570.2
2022,Chad,114,60,7,2051.9
2022,daniel,109,23,6,2082.5
2021,Kai,109,17,6,2393.1
2020,jarrod,109,26,11,2196.4
2021,Shane,105,24,8,2144.4
2019,daniel,104,29,13,2086.6
2008,Andrew,103,27,8,1799.0
2008,Bo,103,52,9,1762.0
2020,Chad,102,31,5,1819.0
2015,Bo,101,50,11,2257.7
2015,Aaron,100,24,7,2025.1
2021,Chad,100,45,9,2291.9
2023,Shane,98,20,11,2341.1
2021,jon,98,18,12,2367.4
2007,matt_harbert,97,22,12,1946.0
2016,Bo,97,43,8,1894.8
2007,Charles,96,27,6,1688.0
2016,jarrod,96,38,10,2194.9
2022,jon,96,19,9,2007.9
2023,Aaron,95,22,10,2024.4
2007,jon,94,68,2,1263.0
2007,Bo,94,100,8,2019.0
2007,Andrew,94,37,10,1803.0
2022,Shane,94,24,10,2165.4
2020,David,93,9,6,1839.6
2022,jarrod,93,44,7,2178.8
2018,Charles,93,15,4,1780.9
2018,jarrod,92,34,7,1873.5
2020,Kai,92,21,9,1957.9
2007,Justin Smith,92,21,10,1843.0
2016,Kai,91,21,8,1614.1
2014,Andrew,91,12,9,1968.6
2019,Bo,91,52,10,1950.3
2007,Chad,90,11,6,1457.0
2023,Chad,90,33,8,2462.3
2015,josiah mclat,90,22,7,1979.5
2023,Kai,90,24,9,2223.7
2018,daniel,89,26,10,1868.9
2019,Charles,89,31,4,1888.5
2022,Andrew,89,17,6,2141.8
2020,Andrew,89,14,7,1978.7
2023,Charles,89,32,8,2048.3
2021,Andrew,88,14,5,1880.9
2015,Buie,88,37,6,1967.7
2008,Justin Smith,88,9,4,1405.0
2020,josiah mclat,88,26,10,2144.2
2014,Chad,88,37,8,1780.0
2008,jon,88,14,7,1640.0
2022,Charles,87,24,10,2476.5
2019,Shane,86,26,7,1877.3
2015,Kai,86,32,6,1829.8
2023,jarrod,85,18,7,2293.1
2015,Shane,85,24,10,2162.1
2014,Aaron,85,9,3,1610.9
2021,David,84,10,9,2087.5
2008,Rusty Blevins,84,25,7,1807.0
2014,Shane,84,25,4,1577.8
2019,David,84,19,9,1949.7
2020,Aaron,84,19,5,1941.1
2019,Chad,84,35,8,1816.3
2016,Andrew,83,18,10,1936.8
2018,Andrew,83,30,11,2120.8
2022,Aaron,82,15,11,2065.0
2014,Buie,81,26,8,1721.9
2008,Greg,81,12,6,1416.0
2022,Kai,81,25,5,2161.0
2020,jon,81,9,8,2141.9
2015,jarrod,80,32,5,1875.7
2014,jarrod,80,13,11,2135.2
2018,jon,80,25,8,1780.5
2015,jon,79,9,6,1913.1
2007,josiah mclat,79,24,4,1340.0
2014,josiah mclat,79,21,8,2127.3
2016,Chad,79,31,4,1779.2
2023,josiah mclat,79,17,9,2098.5
2015,Chad,79,30,11,2160.2
2023,Andrew,78,17,4,1962.7
2015,Greg,78,21,10,1899.5
2021,Aaron,78,12,6,2154.5
2019,jon,78,36,11,1952.4
2016,David,78,27,11,2100.7
2008,matt_harbert,77,46,4,1367.0
2018,Shane,76,28,10,2228.7
2022,David,76,9,8,2046.4
2016,mike,75,18,9,1789.7
2021,josiah mclat,75,14,6,2205.0
2016,Aaron,74,20,7,1795.2
2018,Chad,74,56,11,2315.9
2014,Bo,74,37,8,1894.1
2015,Andrew,72,14,6,1992.9
2019,Kai,72,15,6,2090.4
2016,Greg,71,17,5,1777.4
2019,josiah mclat,70,19,7,1921.6
2016,Shane,70,17,6,1774.6
2018,Kai,70,19,7,1841.4
2018,David,70,21,7,1952.1
2015,mike,70,10,7,2026.9
2018,Aaron,69,24,7,1740.9
2023,jon,69,10,7,2324.5
2019,Andrew,69,15,7,1894.8
2016,josiah mclat,68,20,7,2115.0
2014,Greg,68,16,10,1988.1
2019,jarrod,67,29,5,1748.6
2022,josiah mclat,67,18,7,2085.5
2008,Charles,66,12,11,1938.0
2016,jon,66,16,6,1523.4
2023,David,65,11,12,2414.7
2018,josiah mclat,65,10,3,1645.2
2019,Aaron,63,13,5,1714.9
2008,Shane,63,15,10,1799.0
2014,mike,60,14,10,1905.5
2007,Shane,60,13,9,2088.0
2008,Chad,58,11,4,1220.0
2008,Bodad,56,8,5,1376.0
2014,jon,55,5,8,1994.2
2008,josiah mclat,53,5,6,1470.0
2007,jarrod,45,6,5,1496.0
2015,,0,0,,
2008,,0,0,,
2022,,0,0,,
2016,,0,0,,
2023,,0,0,,
2007,,0,0,,
2021,,0,0,,
2020,,0,0,,
2014,,0,0,,
2018,,0,0,,
2019,,0,0,,
